start_time,hemisphere,chirality,split
2010-05-24T14:06:05,1,0,train
2010-08-01T13:42:05,1,1,val
2010-08-14T10:12:05,1,1,train
2011-06-02T08:12:06,0,0,train
2011-06-07T06:49:12,0,0,train
2011-08-04T04:12:05,1,1,train
2011-10-22T01:25:53,1,0,train
2012-01-19T14:36:05,1,1,train
2012-03-05T04:00:05,1,0,train
2012-03-13T17:36:05,1,0,train
2012-04-23T18:24:05,1,0,val
2012-06-14T14:12:07,0,0,train
2012-07-12T16:48:05,0,0,val
2012-08-14T01:25:49,1,1,val
2012-09-02T04:00:06,1,1,train
2012-09-28T00:12:05,1,0,train
2012-11-20T12:00:07,1,1,train
2013-03-15T07:12:05,1,0,val
2013-07-09T15:12:09,1,0,train
2013-09-29T22:12:05,1,1,val
2013-10-29T22:00:06,1,1,val
2013-11-07T15:12:10,0,0,val
2014-02-18T01:36:21,0,1,train
2014-08-01T18:36:05,0,0,train
2014-08-15T17:48:07,0,0,train
2014-08-25T15:36:05,1,1,train
2014-09-09T00:06:26,1,1,train
2015-03-15T01:48:05,0,1,train
2015-06-22T18:36:05,1,0,val
2015-11-04T14:48:04,1,1,train
2015-12-16T09:36:04,0,1,val
2015-12-28T12:12:05,0,1,train
2017-07-14T01:25:00,0,0,train
2017-09-04T20:36:05,0,1,val
